chpter,tumour type,option,,sctid,,ptsctid,,,,,,,,,,,,,,,,,,,,,,,
40,sarcoma of soft tissue of head or neck,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
40,sarcoma of soft tissue of head or neck,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
40,sarcoma of soft tissue of head or neck,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
40,sarcoma of soft tissue of head or neck,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
40,sarcoma of soft tissue of head or neck,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
40,sarcoma of soft tissue of head or neck,cT4a,American Joint Committee on Cancer cT4a (qualifier value),1228945002,cT4a,5063858018,,,,,,,,,,,,,,,,,,,,,,,
40,sarcoma of soft tissue of head or neck,cT4b,American Joint Committee on Cancer cT4b (qualifier value),1228946001,cT4b,5063859014,,,,,,,,,,,,,,,,,,,,,,,
41,sarcoma of soft tissue of trunk or extremities,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
41,sarcoma of soft tissue of trunk or extremities,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
41,sarcoma of soft tissue of trunk or extremities,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
41,sarcoma of soft tissue of trunk or extremities,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
41,sarcoma of soft tissue of trunk or extremities,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
41,sarcoma of soft tissue of trunk or extremities,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
42,sarcoma of soft tissue abdomen or thoracic visceral organs,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
42,sarcoma of soft tissue abdomen or thoracic visceral organs,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
42,sarcoma of soft tissue abdomen or thoracic visceral organs,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
42,sarcoma of soft tissue abdomen or thoracic visceral organs,cT2a,American Joint Committee on Cancer cT2a (qualifier value),1228931008,cT2a,5063796012,,,,,,,,,,,,,,,,,,,,,,,
42,sarcoma of soft tissue abdomen or thoracic visceral organs,cT2b,American Joint Committee on Cancer cT2b (qualifier value),1228934000,cT2b,5063810010,,,,,,,,,,,,,,,,,,,,,,,
42,sarcoma of soft tissue abdomen or thoracic visceral organs,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
42,sarcoma of soft tissue abdomen or thoracic visceral organs,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
42,sarcoma of soft tissue abdomen or thoracic visceral organs,cT4a,American Joint Committee on Cancer cT4a (qualifier value),1228945002,cT4a,5063858018,,,,,,,,,,,,,,,,,,,,,,,
42,sarcoma of soft tissue abdomen or thoracic visceral organs,cT4b,American Joint Committee on Cancer cT4b (qualifier value),1228946001,cT4b,5063859014,,,,,,,,,,,,,,,,,,,,,,,
42,sarcoma of soft tissue abdomen or thoracic visceral organs,cT4c,American Joint Committee on Cancer cT4c (qualifier value),1228947005,cT4c,5063866010,,,,,,,,,,,,,,,,,,,,,,,
43.1,stromal tumour of stomach or omentum,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
43.1,stromal tumour of stomach or omentum,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
43.1,stromal tumour of stomach or omentum,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
43.1,stromal tumour of stomach or omentum,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
43.1,stromal tumour of stomach or omentum,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
43.1,stromal tumour of stomach or omentum,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
43.2,"stromal tumour of small intestine, esophagus, colon, rectum, mesentery or peritoneum",cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
43.2,"stromal tumour of small intestine, esophagus, colon, rectum, mesentery or peritoneum",cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
43.2,"stromal tumour of small intestine, esophagus, colon, rectum, mesentery or peritoneum",cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
43.2,"stromal tumour of small intestine, esophagus, colon, rectum, mesentery or peritoneum",cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
43.2,"stromal tumour of small intestine, esophagus, colon, rectum, mesentery or peritoneum",cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
43.2,"stromal tumour of small intestine, esophagus, colon, rectum, mesentery or peritoneum",cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
44,soft tissue sarcoma of retroperitoneum,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
44,soft tissue sarcoma of retroperitoneum,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
44,soft tissue sarcoma of retroperitoneum,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
44,soft tissue sarcoma of retroperitoneum,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
44,soft tissue sarcoma of retroperitoneum,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
44,soft tissue sarcoma of retroperitoneum,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
46,carcinoma of merkel cell,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
46,carcinoma of merkel cell,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
46,carcinoma of merkel cell,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
46,carcinoma of merkel cell,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
46,carcinoma of merkel cell,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
46,carcinoma of merkel cell,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
46,carcinoma of merkel cell,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
47,melanoma of skin,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
47,melanoma of skin,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
47,melanoma of skin,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
47,melanoma of skin,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
47,melanoma of skin,cT1a,American Joint Committee on Cancer cT1a (qualifier value),1228892002,cT1a,5063636018,,,,,,,,,,,,,,,,,,,,,,,
47,melanoma of skin,cT1b,American Joint Committee on Cancer cT1b (qualifier value),1228895000,cT1b,5063651010,,,,,,,,,,,,,,,,,,,,,,,
47,melanoma of skin,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
47,melanoma of skin,cT2a,American Joint Committee on Cancer cT2a (qualifier value),1228931008,cT2a,5063796012,,,,,,,,,,,,,,,,,,,,,,,
47,melanoma of skin,cT2b,American Joint Committee on Cancer cT2b (qualifier value),1228934000,cT2b,5063810010,,,,,,,,,,,,,,,,,,,,,,,
47,melanoma of skin,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
47,melanoma of skin,cT3a,American Joint Committee on Cancer cT3a (qualifier value),1228939005,cT3a,5063833011,,,,,,,,,,,,,,,,,,,,,,,
47,melanoma of skin,cT3b,American Joint Committee on Cancer cT3b (qualifier value),1228940007,cT3b,5063836015,,,,,,,,,,,,,,,,,,,,,,,
47,melanoma of skin,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
47,melanoma of skin,cT4a,American Joint Committee on Cancer cT4a (qualifier value),1228945002,cT4a,5063858018,,,,,,,,,,,,,,,,,,,,,,,
47,melanoma of skin,cT4b,American Joint Committee on Cancer cT4b (qualifier value),1228946001,cT4b,5063859014,,,,,,,,,,,,,,,,,,,,,,,
48,carcinoma of breast,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
48,carcinoma of breast,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
48,carcinoma of breast,cTis(DCIS),American Joint Committee on Cancer cTis(DCIS) (qualifier value),1228885007,cTis(DCIS),5063608011,,,,,,,,,,,,,,,,,,,,,,,
48,carcinoma of breast,cTis(Paget),American Joint Committee on Cancer cTis(Paget) (qualifier value),1228888009,cTis(Paget),5063622011,,,,,,,,,,,,,,,,,,,,,,,
48,carcinoma of breast,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
48,carcinoma of breast,cT1mi,American Joint Committee on Cancer cT1mi (qualifier value),1228891009,cT1mi,5063632016,,,,,,,,,,,,,,,,,,,,,,,
48,carcinoma of breast,cT1a,American Joint Committee on Cancer cT1a (qualifier value),1228892002,cT1a,5063636018,,,,,,,,,,,,,,,,,,,,,,,
48,carcinoma of breast,cT1b,American Joint Committee on Cancer cT1b (qualifier value),1228895000,cT1b,5063651010,,,,,,,,,,,,,,,,,,,,,,,
48,carcinoma of breast,cT1c,American Joint Committee on Cancer cT1c (qualifier value),1228899006,cT1c,5063669018,,,,,,,,,,,,,,,,,,,,,,,
48,carcinoma of breast,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
48,carcinoma of breast,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
48,carcinoma of breast,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
48,carcinoma of breast,cT4a,American Joint Committee on Cancer cT4a (qualifier value),1228945002,cT4a,5063858018,,,,,,,,,,,,,,,,,,,,,,,
48,carcinoma of breast,cT4b,American Joint Committee on Cancer cT4b (qualifier value),1228946001,cT4b,5063859014,,,,,,,,,,,,,,,,,,,,,,,
48,carcinoma of breast,cT4c,American Joint Committee on Cancer cT4c (qualifier value),1228947005,cT4c,5063866010,,,,,,,,,,,,,,,,,,,,,,,
48,carcinoma of breast,cT4d,American Joint Committee on Cancer cT4d (qualifier value),1228948000,cT4d,5063870019,,,,,,,,,,,,,,,,,,,,,,,
50,carinoma of vulva,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
50,carinoma of vulva,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
50,carinoma of vulva,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
50,carinoma of vulva,cT1a,American Joint Committee on Cancer cT1a (qualifier value),1228892002,cT1a,5063636018,,,,,,,,,,,,,,,,,,,,,,,
50,carinoma of vulva,cT1b,American Joint Committee on Cancer cT1b (qualifier value),1228895000,cT1b,5063651010,,,,,,,,,,,,,,,,,,,,,,,
50,carinoma of vulva,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
50,carinoma of vulva,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
51,carinoma of vagina,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
51,carinoma of vagina,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
51,carinoma of vagina,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
51,carinoma of vagina,cT1a,American Joint Committee on Cancer cT1a (qualifier value),1228892002,cT1a,5063636018,,,,,,,,,,,,,,,,,,,,,,,
51,carinoma of vagina,cT1b,American Joint Committee on Cancer cT1b (qualifier value),1228895000,cT1b,5063651010,,,,,,,,,,,,,,,,,,,,,,,
51,carinoma of vagina,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
51,carinoma of vagina,cT2a,American Joint Committee on Cancer cT2a (qualifier value),1228931008,cT2a,5063796012,,,,,,,,,,,,,,,,,,,,,,,
51,carinoma of vagina,cT2b,American Joint Committee on Cancer cT2b (qualifier value),1228934000,cT2b,5063810010,,,,,,,,,,,,,,,,,,,,,,,
51,carinoma of vagina,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
51,carinoma of vagina,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
52,cancer of cervix,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
52,cancer of cervix,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
52,cancer of cervix,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
52,cancer of cervix,cT1a,American Joint Committee on Cancer cT1a (qualifier value),1228892002,cT1a,5063636018,,,,,,,,,,,,,,,,,,,,,,,
52,cancer of cervix,cT1a1,American Joint Committee on Cancer cT1a1 (qualifier value),1228893007,cT1a1,5063644018,,,,,,,,,,,,,,,,,,,,,,,
52,cancer of cervix,cT1a2,American Joint Committee on Cancer cT1a2 (qualifier value),1228894001,cT1a2,5063648015,,,,,,,,,,,,,,,,,,,,,,,
52,cancer of cervix,cT1b,American Joint Committee on Cancer cT1b (qualifier value),1228895000,cT1b,5063651010,,,,,,,,,,,,,,,,,,,,,,,
52,cancer of cervix,cT1b1,American Joint Committee on Cancer cT1b1 (qualifier value),1228896004,cT1b1,5063656017,,,,,,,,,,,,,,,,,,,,,,,
52,cancer of cervix,cT1b2,American Joint Committee on Cancer cT1b2 (qualifier value),1228898003,cT1b2,5063665012,,,,,,,,,,,,,,,,,,,,,,,
52,cancer of cervix,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
52,cancer of cervix,cT2a,American Joint Committee on Cancer cT2a (qualifier value),1228931008,cT2a,5063796012,,,,,,,,,,,,,,,,,,,,,,,
52,cancer of cervix,cT2a1,American Joint Committee on Cancer cT2a1 (qualifier value),1228932001,cT2a1,5063803016,,,,,,,,,,,,,,,,,,,,,,,
52,cancer of cervix,cT2a2,American Joint Committee on Cancer cT2a2 (qualifier value),1228933006,cT2a2,5063804010,,,,,,,,,,,,,,,,,,,,,,,
52,cancer of cervix,cT2b,American Joint Committee on Cancer cT2b (qualifier value),1228934000,cT2b,5063810010,,,,,,,,,,,,,,,,,,,,,,,
52,cancer of cervix,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
52,cancer of cervix,cT3a,American Joint Committee on Cancer cT3a (qualifier value),1228939005,cT3a,5063833011,,,,,,,,,,,,,,,,,,,,,,,
52,cancer of cervix,cT3b,American Joint Committee on Cancer cT3b (qualifier value),1228940007,cT3b,5063836015,,,,,,,,,,,,,,,,,,,,,,,
52,cancer of cervix,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
53,carcinoma or carcinosarcoma of uterus,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
53,carcinoma or carcinosarcoma of uterus,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
53,carcinoma or carcinosarcoma of uterus,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
53,carcinoma or carcinosarcoma of uterus,cT1a,American Joint Committee on Cancer cT1a (qualifier value),1228892002,cT1a,5063636018,,,,,,,,,,,,,,,,,,,,,,,
53,carcinoma or carcinosarcoma of uterus,cT1b,American Joint Committee on Cancer cT1b (qualifier value),1228895000,cT1b,5063651010,,,,,,,,,,,,,,,,,,,,,,,
53,carcinoma or carcinosarcoma of uterus,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
53,carcinoma or carcinosarcoma of uterus,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
53,carcinoma or carcinosarcoma of uterus,cT3a,American Joint Committee on Cancer cT3a (qualifier value),1228939005,cT3a,5063833011,,,,,,,,,,,,,,,,,,,,,,,
53,carcinoma or carcinosarcoma of uterus,cT3b,American Joint Committee on Cancer cT3b (qualifier value),1228940007,cT3b,5063836015,,,,,,,,,,,,,,,,,,,,,,,
53,carcinoma or carcinosarcoma of uterus,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
54.1,leiomyosarcoma or endometrial stromal sarcoma of uterus,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
54.1,leiomyosarcoma or endometrial stromal sarcoma of uterus,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
54.1,leiomyosarcoma or endometrial stromal sarcoma of uterus,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
54.1,leiomyosarcoma or endometrial stromal sarcoma of uterus,cT1a,American Joint Committee on Cancer cT1a (qualifier value),1228892002,cT1a,5063636018,,,,,,,,,,,,,,,,,,,,,,,
54.1,leiomyosarcoma or endometrial stromal sarcoma of uterus,cT1b,American Joint Committee on Cancer cT1b (qualifier value),1228895000,cT1b,5063651010,,,,,,,,,,,,,,,,,,,,,,,
54.1,leiomyosarcoma or endometrial stromal sarcoma of uterus,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
54.1,leiomyosarcoma or endometrial stromal sarcoma of uterus,cT2a,American Joint Committee on Cancer cT2a (qualifier value),1228931008,cT2a,5063796012,,,,,,,,,,,,,,,,,,,,,,,
54.1,leiomyosarcoma or endometrial stromal sarcoma of uterus,cT2b,American Joint Committee on Cancer cT2b (qualifier value),1228934000,cT2b,5063810010,,,,,,,,,,,,,,,,,,,,,,,
54.1,leiomyosarcoma or endometrial stromal sarcoma of uterus,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
54.1,leiomyosarcoma or endometrial stromal sarcoma of uterus,cT3a,American Joint Committee on Cancer cT3a (qualifier value),1228939005,cT3a,5063833011,,,,,,,,,,,,,,,,,,,,,,,
54.1,leiomyosarcoma or endometrial stromal sarcoma of uterus,cT3b,American Joint Committee on Cancer cT3b (qualifier value),1228940007,cT3b,5063836015,,,,,,,,,,,,,,,,,,,,,,,
54.1,leiomyosarcoma or endometrial stromal sarcoma of uterus,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
54.2,adenosarcoma of uterus,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
54.2,adenosarcoma of uterus,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
54.2,adenosarcoma of uterus,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
54.2,adenosarcoma of uterus,cT1a,American Joint Committee on Cancer cT1a (qualifier value),1228892002,cT1a,5063636018,,,,,,,,,,,,,,,,,,,,,,,
54.2,adenosarcoma of uterus,cT1b,American Joint Committee on Cancer cT1b (qualifier value),1228895000,cT1b,5063651010,,,,,,,,,,,,,,,,,,,,,,,
54.2,adenosarcoma of uterus,cT1c,American Joint Committee on Cancer cT1c (qualifier value),1228899006,cT1c,5063669018,,,,,,,,,,,,,,,,,,,,,,,
54.2,adenosarcoma of uterus,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
54.2,adenosarcoma of uterus,cT2a,American Joint Committee on Cancer cT2a (qualifier value),1228931008,cT2a,5063796012,,,,,,,,,,,,,,,,,,,,,,,
54.2,adenosarcoma of uterus,cT2b,American Joint Committee on Cancer cT2b (qualifier value),1228934000,cT2b,5063810010,,,,,,,,,,,,,,,,,,,,,,,
54.2,adenosarcoma of uterus,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
54.2,adenosarcoma of uterus,cT3a,American Joint Committee on Cancer cT3a (qualifier value),1228939005,cT3a,5063833011,,,,,,,,,,,,,,,,,,,,,,,
54.2,adenosarcoma of uterus,cT3b,American Joint Committee on Cancer cT3b (qualifier value),1228940007,cT3b,5063836015,,,,,,,,,,,,,,,,,,,,,,,
54.2,adenosarcoma of uterus,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
55,"carcinoma of ovary, fallopian tube or peritoneum",cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
55,"carcinoma of ovary, fallopian tube or peritoneum",cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
55,"carcinoma of ovary, fallopian tube or peritoneum",cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
55,"carcinoma of ovary, fallopian tube or peritoneum",cT1a,American Joint Committee on Cancer cT1a (qualifier value),1228892002,cT1a,5063636018,,,,,,,,,,,,,,,,,,,,,,,
55,"carcinoma of ovary, fallopian tube or peritoneum",cT1b,American Joint Committee on Cancer cT1b (qualifier value),1228895000,cT1b,5063651010,,,,,,,,,,,,,,,,,,,,,,,
55,"carcinoma of ovary, fallopian tube or peritoneum",cT1c,American Joint Committee on Cancer cT1c (qualifier value),1228899006,cT1c,5063669018,,,,,,,,,,,,,,,,,,,,,,,
55,"carcinoma of ovary, fallopian tube or peritoneum",cT1c1,American Joint Committee on Cancer cT1c1 (qualifier value),1228900001,cT1c1,5063670017,,,,,,,,,,,,,,,,,,,,,,,
55,"carcinoma of ovary, fallopian tube or peritoneum",cT1c2,American Joint Committee on Cancer cT1c2 (qualifier value),1228901002,cT1c2,5063676011,,,,,,,,,,,,,,,,,,,,,,,
55,"carcinoma of ovary, fallopian tube or peritoneum",cT1c3,American Joint Committee on Cancer cT1c3 (qualifier value),1228902009,cT1c3,5063678012,,,,,,,,,,,,,,,,,,,,,,,
55,"carcinoma of ovary, fallopian tube or peritoneum",cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
55,"carcinoma of ovary, fallopian tube or peritoneum",cT2a,American Joint Committee on Cancer cT2a (qualifier value),1228931008,cT2a,5063796012,,,,,,,,,,,,,,,,,,,,,,,
55,"carcinoma of ovary, fallopian tube or peritoneum",cT2b,American Joint Committee on Cancer cT2b (qualifier value),1228934000,cT2b,5063810010,,,,,,,,,,,,,,,,,,,,,,,
55,"carcinoma of ovary, fallopian tube or peritoneum",cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
55,"carcinoma of ovary, fallopian tube or peritoneum",cT3a,American Joint Committee on Cancer cT3a (qualifier value),1228939005,cT3a,5063833011,,,,,,,,,,,,,,,,,,,,,,,
55,"carcinoma of ovary, fallopian tube or peritoneum",cT3b,American Joint Committee on Cancer cT3b (qualifier value),1228940007,cT3b,5063836015,,,,,,,,,,,,,,,,,,,,,,,
55,"carcinoma of ovary, fallopian tube or peritoneum",cT3c,American Joint Committee on Cancer cT3c (qualifier value),1228941006,cT3c,5063841011,,,,,,,,,,,,,,,,,,,,,,,
56,neoplasm of placenta,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
56,neoplasm of placenta,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
